ENTITY_ID,TOTAL_RECIEVE_ADDRESSES,TOTAL_RECIEVE_TRANSACTIONS,TOTAL_BTC_RECEIVED,TOTAL_SPEND_ADDRESSES,TOTAL_SPEND_TRANSACTIONS,TOTAL_BTC_SPENT
,0,0,0.000000,0,20788,0.000000
1089051241,2,1,0.000355,2,2,0.000710
1089039615,2,1,0.000051,1,1,0.000102
1089043980,1,1,0.000000,0,0,0.000000
1089051761,2,1,0.004150,0,0,0.000000
1089037862,2,1,0.000056,1,1,0.000112
1089039426,2,1,0.000049,1,1,0.000098
1089036858,2,1,0.068601,0,0,0.000000
1089041840,1,1,0.000000,0,0,0.000000
1089051152,2,1,0.000005,0,0,0.000000
1089043807,2,1,0.000153,1,1,0.000306
206158430210,2,5,0.004101,2,3,0.005459
1089051528,2,1,0.000570,2,2,0.001129
1089042941,2,1,0.000149,1,1,0.000298
1089053834,8,2,0.044164,1,1,0.001009
1089041811,1,1,0.000000,0,0,0.000000
1088830118,1,0,0.003175,1,1,0.003175
798863917078,1,3,0.001316,1,1,0.001230
1089034965,1,0,2.355078,1,1,4.710156
1089054695,2,1,0.147739,0,0,0.000000
1089053943,2,2,0.020786,0,0,0.000000
1047038605,1,0,0.000563,1,1,0.001126
1089055429,2,1,0.003213,0,0,0.000000
1089054606,2,1,0.000271,1,1,0.000009
1089038595,1,1,0.000005,0,0,0.000000
1089052668,2,1,0.002232,2,2,0.004455
1089039679,2,1,0.000059,1,1,0.000118
1089053092,9,1,0.407455,0,0,0.000000
1089047896,2,1,0.002199,0,0,0.000000
68,46,0,0.303331,46,1,0.303331
1089055261,2,1,0.397369,1,1,0.778340
1089038372,2,1,0.017552,2,2,0.028278
128849018892,3,0,0.004885,3,1,0.004885
1089036643,10,2,0.498664,0,0,0.000000
1089039384,2,1,0.000061,1,1,0.000122
1089045655,2,1,0.000065,1,1,0.000130
1089045143,2,1,0.000078,1,1,0.000156
1089053130,4,1,0.635395,0,0,0.000000
1089052479,2,1,0.001561,0,0,0.000000
1089052354,2,1,0.009975,1,1,0.018780
1089054188,5,10,3.668920,0,0,0.000000
103079215173,5,8,0.017702,5,4,0.028332
1089048299,9,31,3321.505881,0,0,0.000000
775216593,1,0,0.001800,1,1,0.003600
1089042703,1,1,0.000000,0,0,0.000000
1089027235,2,0,0.023604,2,2,0.068224
1089036749,2,1,0.021519,0,0,0.000000
1089046330,2,1,0.000513,1,1,0.000626
1089038604,2,1,0.006107,0,0,0.000000
1089051967,2,1,0.000653,1,1,0.000010
1089045806,2,1,0.000298,1,1,0.000596
1088499326,1,0,0.005841,1,1,0.005841
377957122050,1,0,0.009314,1,1,0.009314
1089038184,2,1,0.009916,0,0,0.000000
1089045864,2,1,0.000063,1,1,0.000126
1089043528,1,1,0.000000,0,0,0.000000
8589934606,18,1,0.016907,18,1,0.016907
1089046963,2,1,0.004183,0,0,0.000000
1089055570,2,1,0.002200,2,2,0.004400
1089037264,2,1,0.000005,0,0,0.000000
1089051425,1,1,0.000005,0,0,0.000000
1089042294,2,1,0.000165,1,1,0.000330
1089051811,2,1,0.000021,1,1,0.000042
1089041112,2,1,0.000179,1,1,0.000358
377957122055,5,0,0.010170,5,1,0.010170
1088586604,1,0,0.015000,1,1,0.030000
779446206,1,0,0.032216,1,1,0.064432
1056512678,1,0,13.289764,1,1,26.579528
1089040859,1,1,0.000000,0,0,0.000000
1089050230,2,1,0.177819,0,0,0.000000
1089036565,2,1,0.006899,1,1,0.012912
1089055805,3,1,0.001197,0,0,0.000000
1089033215,1,0,0.017598,1,1,0.035196
1088779282,1,0,0.013330,1,1,0.026660
1089049397,2,1,0.349246,1,1,0.692046
1088432281,1,0,0.001184,1,1,0.002368
1089047128,4,1,0.001558,1,1,0.006148
1089055897,2,1,0.000003,0,0,0.000000
1089038861,2,1,0.000138,2,2,0.000267
1089037702,1,9,0.000513,0,0,0.000000
1089040947,2,1,0.000153,1,1,0.000306
77309411398,3,3,0.082016,3,4,0.084032
1089048750,2,1,0.009734,1,1,0.017538
231928234034,5,0,0.000095,5,1,0.000190
1089053735,2,1,0.010095,0,0,0.000000
1089041895,1,1,0.000000,0,0,0.000000
1089041736,2,1,0.000183,1,1,0.000366
1067430503,1,0,0.000180,1,1,0.000180
1089037180,1,1,0.094131,0,0,0.000000
1073741824014,3,1,0.007544,3,1,0.007544
1089038668,2,1,0.002682,1,1,0.000018
1089044540,2,1,0.000065,1,1,0.000130
1088747763,2,0,0.010109,2,2,0.013897
1089052118,1,2,0.012332,0,0,0.000000
1089049889,1,2,0.010398,0,0,0.000000
1089043169,2,1,0.000142,1,1,0.000284
1089036082,2,3,0.000015,0,0,0.000000
1089040085,2,1,0.000056,1,1,0.000112
1089042742,1,1,0.000000,0,0,0.000000
463856468001,3,4,1.625470,3,1,1.636942
1089042069,2,1,0.000172,1,1,0.000344
1089041920,2,1,0.000149,1,1,0.000298
1089043832,2,1,0.000144,1,1,0.000288
1089052477,2,1,0.002727,0,0,0.000000
1089048128,1,1,0.000010,1,1,0.000010
1089039901,2,1,0.000044,1,1,0.000088
68719476738,4,5,0.381346,4,2,1.570487
1089040358,2,1,0.000005,0,0,0.000000
1089036373,1,1,0.000547,0,0,0.000000
1089045159,2,1,0.000070,1,1,0.000140
1089050834,2,1,0.003470,0,0,0.000000
1089054374,2,1,0.000005,0,0,0.000000
1089049850,1,1,0.008347,0,0,0.000000
1089047263,1,1,0.001606,0,0,0.000000
1089050615,2,1,0.097021,1,1,0.189038
1089044786,2,1,0.000132,1,1,0.000264
1089040592,1,1,0.000000,0,0,0.000000
1089042420,1,1,0.000000,0,0,0.000000
1089042300,2,1,0.000151,1,1,0.000302
1089039284,2,1,0.000051,1,1,0.000102
1089046621,2,1,0.002690,0,0,0.000000
1089041315,2,1,0.000165,1,1,0.000330
1089056030,1,1,0.000000,0,0,0.000000
1089027011,1,0,0.000508,1,1,0.001016
1683627180120,1,2,0.005863,1,1,0.012903
154618822709,1,3,0.014450,1,1,0.043251
1089051489,2,1,0.000351,2,2,0.000691
1087939575,1,0,0.008340,1,1,0.016680
163208757255,1,1,0.012330,1,1,0.023976
1089055237,2,2,0.025096,1,1,0.009522
1089053530,1,1,0.001476,0,0,0.000000
1089037505,1,1,0.000003,0,0,0.000000
1089049211,2,1,0.310935,0,0,0.000000
1089050983,2,1,0.102832,0,0,0.000000
472446402665,2,0,0.001644,2,1,0.003288
111669149781,11,1,0.048599,11,1,0.097198
1089044177,1,1,0.000000,0,0,0.000000
1089023972,2,0,0.000265,2,2,0.000530
1089038999,2,1,0.000355,2,2,0.000710
1088754726,1,0,0.000141,1,1,0.000282
1089038731,1,1,0.000003,0,0,0.000000
1089049389,2,1,0.001192,0,0,0.000000
1089037889,1,5,0.049385,0,0,0.000000
1089036045,2,1,6.492348,0,0,0.000000
1083108910,1,0,0.000632,1,1,0.001264
1089053707,2,1,0.039163,0,0,0.000000
360777252869,2,0,0.010856,2,1,0.021712
1089044080,1,1,0.000000,0,0,0.000000
1089037243,2,1,0.000003,0,0,0.000000
1089039260,3,2,0.000334,0,0,0.000000
1088968694,1,0,0.000562,1,1,0.000562
1089051635,2,1,0.012817,0,0,0.000000
1089050581,2,3,0.031863,0,0,0.000000
1089052328,1,1,0.000005,0,0,0.000000
1089049018,1,1,0.000003,0,0,0.000000
1089053154,4,1,0.296590,0,0,0.000000
1089045555,2,1,0.000077,1,1,0.000154
1089044501,2,1,0.006848,1,1,0.013696
1089040256,2,1,0.000008,1,1,0.000016
1089043732,1,1,0.000000,0,0,0.000000
1089041889,1,1,0.000000,0,0,0.000000
1089041165,2,1,0.000179,1,1,0.000358
1089055547,2,1,0.000003,0,0,0.000000
1089039303,2,1,0.000028,1,1,0.000056
1089051115,2,1,0.001738,0,0,0.000000
1089049215,2,1,0.002604,1,1,0.004348
1089055474,2,1,0.001857,1,1,0.000014
1089044947,2,1,0.000077,1,1,0.000154
1089023218,2,0,0.033212,2,2,0.064342
1089036064,1,1,0.000228,0,0,0.000000
1089047156,2,1,0.046587,0,0,0.000000
1089051314,2,1,0.000005,0,0,0.000000
1088422680,1,0,0.000200,1,1,0.000400
1088432325,1,0,0.001192,1,1,0.002384
1089037682,1,1,0.001096,1,1,0.001096
1089055252,2,1,0.000174,0,0,0.000000
1089040533,1,1,0.000000,0,0,0.000000
1089043858,1,1,0.000000,0,0,0.000000
1089052270,2,1,0.111755,0,0,0.000000
1089037909,2,1,0.000005,0,0,0.000000
1089037984,1,1,0.008270,0,0,0.000000
1089051880,2,1,0.292532,0,0,0.000000
1089037532,1,1,0.000003,0,0,0.000000
1089047037,1,1,0.000000,0,0,0.000000
1089050391,1,1,0.001790,0,0,0.000000
1089045281,2,1,0.000095,1,1,0.000190
1089042975,2,1,0.000172,1,1,0.000344
1089048512,2,1,0.000491,2,2,0.000973
1089052023,2,1,0.014000,1,1,0.000010
1089048174,1,1,0.000010,0,0,0.000000
1089053208,1,4,0.002504,0,0,0.000000
1089038536,1,1,0.008704,0,0,0.000000
1089038177,2,1,0.000167,0,0,0.000000
1089046754,2,1,0.012237,0,0,0.000000
1089041635,2,1,0.000155,1,1,0.000310
1089033119,1,0,0.577326,1,1,1.154652
506806140938,1,2,0.045804,1,1,0.034020
1089048175,3,2,0.001948,0,0,0.000000
1089047885,2,1,0.001329,2,2,0.002641
984483004,1,0,0.000235,1,1,0.000470
1089025846,1,0,0.011127,1,1,0.022254
1089054760,2,1,0.000293,0,0,0.000000
1088972316,1,0,0.006248,1,1,0.012496
